trader_id,symbol,position_size,avg_price,current_pnl,sector,strategy
TRADER001,AAPL,1000,172.50,2750.00,Technology,Momentum
TRADER001,GOOGL,-500,145.20,-1200.00,Technology,Pairs
TRADER001,SPY,2500,450.25,6375.00,Index,Beta
TRADER002,TSLA,750,245.80,2025.00,Automotive,Growth
TRADER002,AMZN,1200,175.60,3180.00,E-commerce,Value
TRADER002,MSFT,-800,380.10,-960.00,Technology,Mean_Reversion
TRADER003,GLD,5000,196.25,12500.00,Commodity,Hedge
TRADER003,VIX,-1000,19.50,-1250.00,Volatility,Vol_Trading
TRADER003,BTC-USD,10,41200.00,16500.00,Crypto,Momentum
TRADER004,QQQ,1500,392.80,5175.00,Index,Systematic